Label 1,Label 2,Label 3,Label 4,Label 5
alp,valley,lakeside,mountain_bike,cliff
airliner,wing,moving_van,trailer_truck,space_shuttle
sandbar,volcano,valley,seashore,lakeside
missile,projectile,space_shuttle,crane,trailer_truck
lakeside,seashore,valley,sandbar,promontory
lakeside,alp,seashore,valley,cliff
rain_barrel,barrel,ashcan,bucket,swab
dung_beetle,seashore,sandbar,terrapin,lakeside
seashore,promontory,cliff,valley,lakeside
sea_lion,airliner,aircraft_carrier,warplane,seashore
alp,valley,volcano,geyser,cliff
seashore,promontory,lakeside,cliff,valley
sandbar,promontory,dam,seashore,cannon
ashcan,rain_barrel,barrel,yurt,alp
cliff,shovel,hatchet,meerkat,cliff_dwelling
promontory,seashore,sandbar,beacon,lakeside
valley,seashore,promontory,lakeside,cliff
seashore,sandbar,lakeside,promontory,cliff
sandbar,seashore,promontory,lakeside,leatherback_turtle
